"","Jan2018","Feb2018","Mar2018","Apr2018","May2018","Jun2018","Jul2018","Aug2018"
"010-015",0,0,0,0,0,0,0,0
"015-020",0,0,0,0,0,0,0,0
"020-025",0,0,0,0,0,0,0,0
"025-030",0,0,0,0,0,3,0,0
"030-035",0,1,0,0,17,118,0,0
"035-040",0,27,0,0,264,252,0,0
"040-045",0,135,4,0,501,205,0,0
"045-050",0,175,18,1,430,208,0,0
"050-055",0,263,54,6,252,217,0,0
"055-060",0,387,31,6,202,396,0,0
"060-065",0,481,44,5,173,458,0,0
"065-070",0,528,63,9,60,209,0,0
"070-075",0,392,96,43,45,75,0,0
"075-080",0,203,123,84,20,41,0,0
"080-085",0,101,100,71,16,66,0,0
"085-090",0,38,54,28,39,91,0,0
"090-095",0,12,29,9,63,62,0,0
"095-100",0,4,10,3,35,25,0,0
"100-105",0,2,6,1,7,6,0,0
"105-110",0,1,2,0,0,1,0,0
"110-115",0,0,0,0,0,0,0,0
"115-120",0,0,0,0,0,0,0,0
"120-125",0,0,0,0,0,0,0,0
"125-130",0,0,0,0,0,0,0,0
"130-135",0,0,0,0,0,0,0,0
"135-140",0,0,0,0,0,0,0,0
"140-145",0,0,0,0,0,0,0,0
"145-150",0,0,0,0,0,0,0,0
"150-155",0,0,0,0,0,0,0,0
"155-160",0,0,0,0,0,0,0,0
